imu_timestamp, mcu_timestamp
4127926,140119045
4128118,140123573
4128310,140128100
4128502,140132628
4128694,140137156
4128886,140141683
4129078,140146211
4129270,140150738
4129462,140155266
4129654,140159794
4129846,140164321
4130038,140168849
4130230,140173377
4130422,140177904
4130614,140182432
4130806,140186959
4130998,140191487
4131190,140196015
4131382,140200542
4131574,140205070
4131766,140209598
4131958,140214125
4132150,140218653
4132342,140223180
4132534,140227708
4132726,140232236
4132918,140236763
4133110,140241291
4133302,140245819
4133494,140250346
4133686,140254874
4133878,140259401
4134070,140263929
4134262,140268457
4134454,140272984
4134646,140277512
4134838,140282040
4135030,140286567
4135222,140291095
4135414,140295622
4135606,140300150
4135798,140304678
4135990,140309205
4136182,140313733
4136374,140318261
4136566,140322788
4136758,140327316
4136950,140331843
4137142,140336371
4137334,140340899
4137526,140345426
4137718,140349954
4137910,140354482
4138102,140359009
4138294,140363537
4138486,140368064
4138678,140372592
4138870,140377120
4139062,140381647
4139254,140386175
4139446,140390703
4139638,140395230
4139830,140399758
4140022,140404285
4140214,140408813
4140406,140413341
4140598,140417868
4140790,140422396
4140982,140426924
4141174,140431451
4141366,140435979
4141558,140440506
4141750,140445034
4141942,140449562
4142134,140454089
4142326,140458617
4142518,140463145
4142710,140467672
4142902,140472200
4143094,140476727
4143286,140481255
4143478,140485783
4143670,140490310
4143862,140494838
4144054,140499366
4144246,140503893
4144438,140508421
4144630,140512948
4144822,140517476
4145014,140522004
4145206,140526531
4145398,140531059
4145590,140535587
4145782,140540114
4145974,140544642
4146166,140549169
4146358,140553697
4146550,140558225
4146742,140562752
4146934,140567280
4147126,140571808
4147318,140576335
4147510,140580863
4147702,140585390
4147894,140589918
4148086,140594446
4148278,140598973
4148470,140603501
4148662,140608029
4148854,140612556
4149046,140617084
4149238,140621611
4149430,140626139
4149622,140630667
4149814,140635194
4150006,140639722
4150198,140644249
4150390,140648777
4150582,140653305
4150774,140657832
4150966,140662360
4151158,140666888
4151350,140671415
4151542,140675943
4151734,140680470
4151926,140684998
4152118,140689526
4152310,140694053
4152502,140698581
4152694,140703109
4152886,140707636
4153078,140712164
4153270,140716691
4153462,140721219
4153654,140725747
4153846,140730274
4154038,140734802
4154230,140739330
4154422,140743857
4154614,140748385
4154806,140752912
4154998,140757440
4155190,140761968
4155382,140766495
4155574,140771023
4155766,140775551
4155958,140780078
4156150,140784606
4156342,140789133
4156534,140793661
4156726,140798189
4156918,140802716
4157110,140807244
4157302,140811772
4157494,140816299
4157686,140820827
4157878,140825354
4158070,140829882
4158262,140834410
4158454,140838937
4158646,140843465
4158838,140847993
4159030,140852520
4159222,140857048
4159414,140861575
4159606,140866103
4159798,140870631
4159990,140875158
4160182,140879686
4160374,140884214
4160566,140888741
4160758,140893269
4160950,140897796
4161142,140902324
4161334,140906852
4161526,140911379
4161718,140915907
4161910,140920435
4162102,140924962
4162294,140929490
4162486,140934017
4162678,140938545
4162870,140943073
4163062,140947600
4163254,140952128
4163446,140956656
4163638,140961183
4163830,140965711
4164022,140970238
4164214,140974766
4164406,140979294
4164598,140983821
4164790,140988349
4164982,140992877
4165174,140997404
4165366,141001932
4165558,141006459
4165750,141010987
4165942,141015515
4166134,141020042
4166326,141024570
4166518,141029098
4166710,141033625
4166902,141038153
4167094,141042680
4167286,141047208
4167478,141051736
4167670,141056263
4167862,141060791
4168054,141065319
4168246,141069846
4168438,141074374
4168630,141078901
4168822,141083429
4169014,141087957
4169206,141092484
4169398,141097012
4169590,141101540
4169782,141106067
4169974,141110595
4170166,141115122
4170358,141119650
4170550,141124178
4170742,141128705
4170934,141133233
4171126,141137761
4171318,141142288
4171510,141146816
4171702,141151343
4171894,141155871
4172086,141160399
4172278,141164926
4172470,141169454
4172662,141173982
4172854,141178509
4173046,141183037
4173238,141187564
4173430,141192092
4173622,141196620
4173814,141201147
4174006,141205675
4174198,141210203
4174390,141214730
4174582,141219258
4174774,141223785
4174966,141228313
4175158,141232841
4175350,141237368
4175542,141241896
4175734,141246424
4175926,141250951
4176118,141255479
4176310,141260006
4176502,141264534
4176694,141269062
4176886,141273589
4177078,141278117
4177270,141282645
4177462,141287172
4177654,141291700
4177846,141296227
4178038,141300755
4178230,141305283
4178422,141309810
4178614,141314338
4178806,141318866
4178998,141323393
4179190,141327921
4179382,141332448
4179574,141336976
4179766,141341504
4179958,141346031
4180150,141350559
4180342,141355087
4180534,141359614
4180726,141364142
4180918,141368669
4181110,141373197
4181302,141377725
4181494,141382252
4181686,141386780
4181878,141391308
4182070,141395835
4182262,141400363
4182454,141404890
4182646,141409418
4182838,141413946
4183030,141418473
4183222,141423001
4183414,141427529
4183606,141432056
4183798,141436584
4183990,141441111
4184182,141445639
4184374,141450167
4184566,141454694
4184758,141459222
4184950,141463750
4185142,141468277
4185334,141472805
4185526,141477332
4185718,141481860
4185910,141486388
4186102,141490915
4186294,141495443
4186486,141499971
4186678,141504498
4186870,141509026
4187062,141513553
4187254,141518081
4187446,141522609
4187638,141527136
4187830,141531664
4188022,141536192
4188214,141540719
4188406,141545247
4188598,141549774
4188790,141554302
4188982,141558830
4189174,141563357
4189366,141567885
4189558,141572413
4189750,141576940
4189942,141581468
4190134,141585995
4190326,141590523
4190518,141595051
4190710,141599578
4190902,141604106
4191094,141608634
4191286,141613161
4191478,141617689
4191670,141622216
4191862,141626744
4192054,141631272
4192246,141635799
4192438,141640327
4192630,141644855
4192822,141649382
4193014,141653910
4193206,141658437
4193398,141662965
4193590,141667493
4193782,141672020
4193974,141676548
4194166,141681076
4194358,141685603
4194550,141690131
4194742,141694658
4194934,141699186
4195126,141703714
4195318,141708241
4195510,141712769
4195702,141717297
4195894,141721824
4196086,141726352
4196278,141730879
4196470,141735407
4196662,141739935
4196854,141744462
4197046,141748990
4197238,141753518
4197430,141758045
4197622,141762573
4197814,141767100
4198006,141771628
4198198,141776156
4198390,141780683
4198582,141785211
4198774,141789739
4198966,141794266
4199158,141798794
4199350,141803321
4199542,141807849
4199734,141812377
4199926,141816904
4200118,141821432
4200310,141825960
4200502,141830487
4200694,141835015
4200886,141839542
4201078,141844070
4201270,141848598
4201462,141853125
4201654,141857653
4201846,141862181
4202038,141866708
4202230,141871236
4202422,141875763
4202614,141880291
4202806,141884819
4202998,141889346
4203190,141893874
4203382,141898402
4203574,141902929
4203766,141907457
4203958,141911984
4204150,141916512
4204342,141921040
4204534,141925567
4204726,141930095
4204918,141934623
4205110,141939150
4205302,141943678
4205494,141948205
4205686,141952733
4205878,141957261
4206070,141961788
4206262,141966316
4206454,141970844
4206646,141975371
4206838,141979899
4207030,141984426
4207222,141988954
4207414,141993482
4207606,141998009
4207798,142002537
4207990,142007065
4208182,142011592
4208374,142016120
4208566,142020647
4208758,142025175
4208950,142029703
4209142,142034230
4209334,142038758
4209526,142043285
4209718,142047813
4209910,142052341
4210102,142056868
4210294,142061396
4210486,142065924
4210678,142070451
4210870,142074979
4211062,142079506
4211254,142084034
4211446,142088562
4211638,142093089
4211830,142097617
4212022,142102145
4212214,142106672
4212406,142111200
4212598,142115727
4212790,142120255
4212982,142124783
4213174,142129310
4213366,142133838
4213558,142138366
4213750,142142893
4213942,142147421
4214134,142151948
4214326,142156476
4214518,142161004
4214710,142165531
4214902,142170059
4215094,142174587
4215286,142179114
4215478,142183642
4215670,142188169
4215862,142192697
4216054,142197225
4216246,142201752
4216438,142206280
4216630,142210808
4216822,142215335
4217014,142219863
4217206,142224390
4217398,142228918
4217590,142233446
4217782,142237973
4217974,142242501
4218166,142247029
4218358,142251556
4218550,142256084
4218742,142260611
4218934,142265139
4219126,142269667
4219318,142274194
4219510,142278722
4219702,142283250
4219894,142287777
4220086,142292305
4220278,142296832
4220470,142301360
4220662,142305888
4220854,142310415
4221046,142314943
4221238,142319471
4221430,142323998
4221622,142328526
4221814,142333053
4222006,142337581
4222198,142342109
4222390,142346636
4222582,142351164
4222774,142355692
4222966,142360219
4223158,142364747
4223350,142369274
4223542,142373802
4223734,142378330
4223926,142382857
4224118,142387385
4224310,142391913
4224502,142396440
4224694,142400968
4224886,142405495
4225078,142410023
4225270,142414551
4225462,142419078
4225654,142423606
4225846,142428134
4226038,142432661
4226230,142437189
4226422,142441716
4226614,142446244
4226806,142450772
4226998,142455299
4227190,142459827
4227382,142464355
4227574,142468882
4227766,142473410
4227958,142477937
4228150,142482465
4228342,142486993
4228534,142491520
4228726,142496048
4228918,142500576
4229110,142505103
4229302,142509631
4229494,142514158
4229686,142518686
4229878,142523214
4230070,142527741
4230262,142532269
4230454,142536796
4230646,142541324
4230838,142545852
4231030,142550379
4231222,142554907
4231414,142559435
4231606,142563962
4231798,142568490
4231990,142573017
4232182,142577545
4232374,142582073
4232566,142586600
4232758,142591128
4232950,142595656
4233142,142600183
4233334,142604711
4233526,142609238
4233718,142613766
4233910,142618294
4234102,142622821
4234294,142627349
4234486,142631877
4234678,142636404
4234870,142640932
4235062,142645459
4235254,142649987
4235446,142654515
4235638,142659042
4235830,142663570
4236022,142668098
4236214,142672625
4236406,142677153
4236598,142681680
4236790,142686208
4236982,142690736
4237174,142695263
4237366,142699791
4237558,142704319
4237750,142708846
4237942,142713374
4238134,142717901
4238326,142722429
4238518,142726957
4238710,142731484
4238902,142736012
4239094,142740540
4239286,142745067
4239478,142749595
4239670,142754122
4239862,142758650
4240054,142763178
4240246,142767705
4240438,142772233
4240630,142776761
4240822,142781288
4241014,142785816
4241206,142790343
4241398,142794871
4241590,142799399
4241782,142803926
4241974,142808454
4242166,142812982
4242358,142817509
4242550,142822037
4242742,142826564
4242934,142831092
4243126,142835620
4243318,142840147
4243510,142844675
4243702,142849203
4243894,142853730
4244086,142858258
4244278,142862785
4244470,142867313
4244662,142871841
4244854,142876368
4245046,142880896
4245238,142885424
4245430,142889951
4245622,142894479
4245814,142899006
4246006,142903534
4246198,142908062
4246390,142912589
